,Provincia,Departamento,Jardines,Poblacion jardin,Primarias,Poblacion primaria,Secundarias,Poblacion secundaria
0,Buenos Aires,LA MATANZA,325.0,157034.0,355.0,193043.0,333.0,214041.0
1,Buenos Aires,LA PLATA,232.0,52075.0,254.0,66893.0,199.0,78431.0
2,Buenos Aires,LOMAS DE ZAMORA,162.0,50825.0,219.0,65571.0,178.0,76653.0
3,Buenos Aires,GENERAL PUEYRREDON,178.0,41427.0,205.0,53294.0,169.0,67001.0
4,Buenos Aires,QUILMES,162.0,47353.0,167.0,60261.0,146.0,70705.0
5,Buenos Aires,ALMIRANTE BROWN,133.0,43762.0,152.0,58015.0,137.0,68125.0
6,Buenos Aires,MORENO,118.0,50791.0,143.0,65328.0,134.0,71388.0
7,Buenos Aires,MERLO,110.0,48007.0,137.0,61148.0,120.0,70111.0
8,Buenos Aires,LANUS,120.0,28133.0,127.0,37841.0,116.0,46520.0
9,Buenos Aires,TIGRE,124.0,32611.0,114.0,44078.0,111.0,53284.0
10,Buenos Aires,PILAR,105.0,34493.0,113.0,42505.0,109.0,48967.0
11,Buenos Aires,GENERAL SAN MARTIN,100.0,28038.0,111.0,38161.0,96.0,46012.0
12,Buenos Aires,FLORENCIO VARELA,98.0,44663.0,108.0,55183.0,98.0,61698.0
13,Buenos Aires,SAN MIGUEL,87.0,24752.0,108.0,31904.0,92.0,35784.0
14,Buenos Aires,BERAZATEGUI,101.0,25806.0,105.0,35310.0,92.0,41619.0
15,Buenos Aires,MORON,102.0,18044.0,103.0,24608.0,90.0,30756.0
16,Buenos Aires,BAHIA BLANCA,95.0,22621.0,102.0,29136.0,94.0,33554.0
17,Buenos Aires,SAN ISIDRO,97.0,17057.0,102.0,22338.0,90.0,29037.0
18,Buenos Aires,AVELLANEDA,120.0,22784.0,94.0,31635.0,93.0,37923.0
19,Buenos Aires,TRES DE FEBRERO,108.0,21166.0,91.0,28750.0,87.0,35036.0
20,Buenos Aires,MALVINAS ARGENTINAS,78.0,25943.0,88.0,34313.0,81.0,40965.0
21,Buenos Aires,VICENTE LOPEZ,106.0,14893.0,83.0,19249.0,76.0,24673.0
22,Buenos Aires,ESCOBAR,76.0,21900.0,82.0,27457.0,75.0,30240.0
23,Buenos Aires,ESTEBAN ECHEVERRIA,71.0,27670.0,74.0,35257.0,71.0,40096.0
24,Buenos Aires,JOSE C. PAZ,55.0,29597.0,65.0,36232.0,62.0,40098.0
25,Buenos Aires,SAN NICOLAS,51.0,12727.0,62.0,15253.0,56.0,17817.0
26,Buenos Aires,ITUZAINGO,50.0,10707.0,57.0,15026.0,45.0,18670.0
27,Buenos Aires,HURLINGHAM,47.0,11620.0,53.0,16075.0,46.0,19542.0
28,Buenos Aires,OLAVARRIA,59.0,8554.0,52.0,11123.0,73.0,13458.0
29,Buenos Aires,TANDIL,62.0,9785.0,52.0,12620.0,60.0,14987.0
30,Buenos Aires,SAN FERNANDO,65.0,11498.0,51.0,15307.0,55.0,18054.0
31,Buenos Aires,EZEIZA,51.0,17155.0,50.0,21962.0,44.0,24742.0
32,Buenos Aires,CAMPANA,40.0,8120.0,49.0,10711.0,42.0,12722.0
33,Buenos Aires,PERGAMINO,54.0,8676.0,45.0,10471.0,56.0,12182.0
34,Buenos Aires,LUJAN,53.0,8352.0,45.0,10571.0,49.0,12158.0
35,Buenos Aires,ZARATE,45.0,9976.0,43.0,13121.0,45.0,15610.0
36,Buenos Aires,JUNIN,42.0,7543.0,42.0,8925.0,46.0,10236.0
37,Buenos Aires,NECOCHEA,43.0,6914.0,41.0,9031.0,51.0,10861.0
38,Buenos Aires,GENERAL RODRIGUEZ,36.0,14137.0,36.0,18024.0,33.0,18644.0
39,Buenos Aires,AZUL,37.0,5390.0,34.0,7022.0,55.0,8263.0
40,Buenos Aires,MERCEDES,40.0,5457.0,32.0,6743.0,41.0,7892.0
41,Buenos Aires,CAÑUELAS,29.0,6225.0,31.0,8115.0,38.0,8920.0
42,Buenos Aires,BERISSO,25.0,7704.0,29.0,10089.0,28.0,11412.0
43,Buenos Aires,SAN PEDRO,30.0,5781.0,29.0,7116.0,42.0,8280.0
44,Buenos Aires,CHIVILCOY,34.0,4906.0,27.0,6129.0,50.0,7531.0
45,Buenos Aires,CORONEL SUAREZ,33.0,2881.0,25.0,3775.0,34.0,4180.0
46,Buenos Aires,TRES ARROYOS,35.0,4260.0,25.0,5501.0,43.0,6283.0
47,Buenos Aires,CORONEL DE MARINA L ROSALES,24.0,4705.0,24.0,6284.0,27.0,7493.0
48,Buenos Aires,LA COSTA,27.0,7455.0,24.0,9744.0,25.0,11692.0
49,Buenos Aires,CHACABUCO,32.0,3518.0,23.0,4504.0,37.0,5651.0
50,Buenos Aires,CHASCOMUS,23.0,3167.0,23.0,4228.0,38.0,4971.0
51,Buenos Aires,SAN VICENTE,28.0,9859.0,23.0,12095.0,30.0,12889.0
52,Buenos Aires,PEHUAJO,28.0,3474.0,23.0,4099.0,34.0,5012.0
53,Buenos Aires,BALCARCE,31.0,3638.0,23.0,4356.0,38.0,4982.0
54,Buenos Aires,LINCOLN,31.0,3480.0,22.0,4008.0,41.0,4746.0
55,Buenos Aires,9 DE JULIO,34.0,3963.0,22.0,4895.0,38.0,5934.0
56,Buenos Aires,GENERAL ALVARADO,22.0,3570.0,22.0,4115.0,20.0,4961.0
57,Buenos Aires,BARADERO,29.0,3225.0,21.0,3706.0,27.0,4484.0
58,Buenos Aires,25 DE MAYO,38.0,2706.0,20.0,3189.0,47.0,3782.0
59,Buenos Aires,ENSENADA,18.0,4917.0,19.0,6608.0,18.0,7828.0
60,Buenos Aires,PRESIDENTE PERON,22.0,10170.0,19.0,12302.0,19.0,13904.0
61,Buenos Aires,TRENQUE LAUQUEN,41.0,4016.0,19.0,4578.0,46.0,5190.0
62,Buenos Aires,SAN ANDRES DE GILES,27.0,2151.0,18.0,2599.0,29.0,3015.0
63,Buenos Aires,MARCOS PAZ,22.0,5973.0,18.0,7274.0,24.0,8351.0
64,Buenos Aires,GENERAL VILLEGAS,30.0,2797.0,18.0,3412.0,32.0,4022.0
65,Buenos Aires,BOLIVAR,30.0,2830.0,18.0,3296.0,37.0,3767.0
66,Buenos Aires,BRANDSEN,20.0,2588.0,18.0,3406.0,22.0,4101.0
67,Buenos Aires,BRAGADO,18.0,3360.0,17.0,4108.0,22.0,4902.0
68,Buenos Aires,LOBOS,29.0,3294.0,17.0,3961.0,35.0,4742.0
69,Buenos Aires,VILLARINO,23.0,2586.0,17.0,3167.0,35.0,3798.0
70,Buenos Aires,PATAGONES,24.0,2857.0,17.0,3677.0,30.0,3920.0
71,Buenos Aires,MAGDALENA,20.0,1935.0,17.0,2352.0,23.0,2676.0
72,Buenos Aires,SALADILLO,25.0,2716.0,16.0,3213.0,37.0,3911.0
73,Buenos Aires,CARLOS CASARES,18.0,1731.0,16.0,2127.0,23.0,2474.0
74,Buenos Aires,EXALTACION DE LA CRUZ,19.0,3424.0,15.0,4195.0,21.0,4585.0
75,Buenos Aires,PUAN,14.0,998.0,15.0,1236.0,18.0,1455.0
76,Buenos Aires,SALTO,21.0,3175.0,15.0,3725.0,20.0,4474.0
77,Buenos Aires,VILLA GESELL,11.0,2583.0,15.0,3608.0,12.0,4460.0
78,Buenos Aires,GENERAL JUAN MADARIAGA,20.0,1548.0,14.0,2191.0,23.0,2821.0
79,Buenos Aires,AYACUCHO,20.0,1699.0,14.0,2051.0,36.0,2541.0
80,Buenos Aires,MAR CHIQUITA,19.0,2519.0,13.0,3085.0,26.0,3581.0
81,Buenos Aires,ADOLFO ALSINA,18.0,1292.0,13.0,1463.0,23.0,1671.0
82,Buenos Aires,SAN ANTONIO DE ARECO,26.0,2120.0,13.0,2443.0,18.0,2999.0
83,Buenos Aires,RAMALLO,12.0,3451.0,13.0,4031.0,24.0,4764.0
84,Buenos Aires,PINAMAR,12.0,3043.0,12.0,3865.0,10.0,4633.0
85,Buenos Aires,DOLORES,12.0,2569.0,12.0,2888.0,22.0,3479.0
86,Buenos Aires,BENITO JUAREZ,11.0,1608.0,12.0,1912.0,13.0,2380.0
87,Buenos Aires,COLON,15.0,2014.0,12.0,2418.0,16.0,2994.0
88,Buenos Aires,CORONEL DORREGO,17.0,1131.0,12.0,1368.0,20.0,1659.0
89,Buenos Aires,TORNQUIST,15.0,997.0,12.0,1351.0,20.0,1436.0
90,Buenos Aires,ARRECIFES,18.0,2644.0,11.0,3046.0,20.0,3457.0
91,Buenos Aires,RIVADAVIA,15.0,1734.0,11.0,2000.0,20.0,2190.0
92,Buenos Aires,DAIREAUX,16.0,1395.0,11.0,1704.0,20.0,2110.0
93,Buenos Aires,LOBERIA,19.0,1302.0,11.0,1606.0,32.0,1897.0
94,Buenos Aires,SAAVEDRA,15.0,1436.0,11.0,1822.0,18.0,2086.0
95,Buenos Aires,GENERAL ARENALES,12.0,1212.0,11.0,1331.0,11.0,1608.0
96,Buenos Aires,CARLOS TEJEDOR,16.0,1107.0,11.0,1331.0,19.0,1492.0
97,Buenos Aires,MONTE,16.0,1922.0,11.0,2558.0,18.0,2853.0
98,Buenos Aires,NAVARRO,19.0,1501.0,11.0,1995.0,30.0,2428.0
99,Buenos Aires,CORONEL PRINGLES,19.0,1890.0,11.0,2404.0,24.0,2553.0
100,Buenos Aires,LAS FLORES,15.0,1982.0,11.0,2355.0,39.0,2959.0
101,Buenos Aires,ADOLFO GONZALES CHAVES,13.0,950.0,11.0,1184.0,16.0,1387.0
102,Buenos Aires,GENERAL BELGRANO,11.0,1618.0,11.0,1957.0,16.0,2208.0
103,Buenos Aires,GENERAL VIAMONTE,15.0,1801.0,10.0,2208.0,19.0,2369.0
104,Buenos Aires,ROJAS,20.0,1851.0,10.0,2284.0,23.0,2802.0
105,Buenos Aires,CARMEN DE ARECO,17.0,1443.0,10.0,1627.0,19.0,2009.0
106,Buenos Aires,GENERAL LA MADRID,12.0,866.0,9.0,1083.0,16.0,1160.0
107,Buenos Aires,GUAMINI,15.0,822.0,9.0,1028.0,18.0,1224.0
108,Buenos Aires,FLORENTINO AMEGHINO,8.0,876.0,8.0,1070.0,9.0,1312.0
109,Buenos Aires,RAUCH,18.0,1197.0,8.0,1501.0,24.0,1779.0
110,Buenos Aires,GENERAL ALVEAR,15.0,758.0,8.0,968.0,26.0,1081.0
111,Buenos Aires,LEANDRO N. ALEM,11.0,1361.0,8.0,1585.0,15.0,1953.0
112,Buenos Aires,GENERAL PINTO,9.0,1104.0,8.0,1131.0,13.0,1365.0
113,Buenos Aires,CAPITAN SARMIENTO,11.0,1180.0,7.0,1468.0,12.0,1686.0
114,Buenos Aires,ALBERTI,10.0,904.0,7.0,1166.0,13.0,1410.0
115,Buenos Aires,GENERAL LAS HERAS,15.0,1466.0,7.0,1773.0,16.0,2104.0
116,Buenos Aires,PUNTA INDIO,9.0,936.0,7.0,1193.0,14.0,1238.0
117,Buenos Aires,ROQUE PEREZ,17.0,1104.0,7.0,1342.0,25.0,1546.0
118,Buenos Aires,GENERAL PAZ,15.0,1095.0,7.0,1495.0,25.0,1600.0
119,Buenos Aires,TAPALQUE,14.0,873.0,6.0,971.0,22.0,1213.0
120,Buenos Aires,LAPRIDA,11.0,901.0,6.0,1175.0,16.0,1343.0
121,Buenos Aires,SUIPACHA,13.0,981.0,6.0,1157.0,14.0,1428.0
122,Buenos Aires,MAIPU,9.0,861.0,6.0,1058.0,12.0,1171.0
123,Buenos Aires,HIPOLITO YRIGOYEN,6.0,789.0,6.0,919.0,8.0,1156.0
124,Buenos Aires,TRES LOMAS,7.0,682.0,5.0,834.0,7.0,986.0
125,Buenos Aires,SALLIQUELO,5.0,653.0,5.0,818.0,5.0,991.0
126,Buenos Aires,GENERAL LAVALLE,7.0,419.0,4.0,549.0,9.0,580.0
127,Buenos Aires,PELLEGRINI,6.0,662.0,4.0,719.0,6.0,722.0
128,Buenos Aires,MONTE HERMOSO,5.0,596.0,4.0,810.0,3.0,914.0
129,Buenos Aires,CASTELLI,7.0,760.0,4.0,888.0,17.0,1029.0
130,Buenos Aires,LEZAMA,5.0,443.0,4.0,546.0,11.0,663.0
131,Buenos Aires,SAN CAYETANO,7.0,615.0,4.0,731.0,10.0,881.0
132,Buenos Aires,PILA,8.0,408.0,3.0,511.0,15.0,522.0
133,Buenos Aires,GENERAL GUIDO,4.0,236.0,3.0,285.0,14.0,357.0
134,Buenos Aires,TORDILLO,4.0,244.0,1.0,259.0,5.0,270.0
