,Provincia,Departamento,Cantidad de CC con cap >100
0,Buenos Aires,AVELLANEDA,20
1,Buenos Aires,LA PLATA,8
2,Buenos Aires,LOMAS DE ZAMORA,3
3,Buenos Aires,GENERAL PUEYRREDON,2
4,Buenos Aires,ALMIRANTE BROWN,2
5,Buenos Aires,MERCEDES,1
6,Buenos Aires,OLAVARRIA,1
7,Buenos Aires,BRAGADO,1
8,Buenos Aires,TRES DE FEBRERO,1
9,Chaco,SAN FERNANDO,2
10,Chaco,MAYOR LUIS J FONTANA,1
11,Chaco,O HIGGINS,1
12,Chubut,BIEDMA,1
13,Chubut,RAWSON,1
14,Ciudad Autónoma de Buenos Aires,CIUDAD AUTONOMA DE BUENOS AIRES,78
15,Corrientes,CAPITAL,1
16,Córdoba,CAPITAL,5
17,Córdoba,SAN JUSTO,2
18,Córdoba,PUNILLA,2
19,Córdoba,MARCOS JUAREZ,2
20,Córdoba,JUAREZ CELMAN,1
21,Córdoba,MINAS,1
22,Córdoba,TERCERO ARRIBA,1
23,Córdoba,COLON,1
24,Córdoba,ISCHILIN,1
25,Córdoba,RIO CUARTO,1
26,Entre Ríos,PARANA,3
27,Entre Ríos,CONCORDIA,1
28,Jujuy,DOCTOR MANUEL BELGRANO,4
29,Jujuy,TILCARA,1
30,Mendoza,GUAYMALLEN,2
31,Mendoza,LUJAN DE CUYO,1
32,Misiones,CAPITAL,2
33,Misiones,OBERA,1
34,Neuquén,CONFLUENCIA,4
35,Neuquén,ZAPALA,1
36,Río Negro,GENERAL ROCA,3
37,Río Negro,SAN ANTONIO,1
38,Salta,CAPITAL,1
39,Salta,CAFAYATE,1
40,San Juan,CAPITAL,1
41,San Luis,JUNIN,1
42,San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,1
43,Santa Fe,LA CAPITAL,6
44,Santa Fe,ROSARIO,6
45,Santa Fe,LAS COLONIAS,3
46,Santa Fe,CASTELLANOS,3
47,Santa Fe,CASEROS,1
48,Santa Fe,VERA,1
49,Santa Fe,SAN LORENZO,1
50,Santa Fe,SAN CRISTOBAL,1
51,Santiago del Estero,BANDA,1
52,Santiago del Estero,CAPITAL,1
53,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",RIO GRANDE,1
54,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",USHUAIA,1
55,Tucumán,LULES,2
