,Provincia,Departamento,Cant_EE,Cant_CC,Poblacion
0,Ciudad Autónoma de Buenos Aires,CIUDAD AUTONOMA DE BUENOS AIRES,1782.0,296.0,3095454.0
1,Córdoba,CAPITAL,1136.0,30.0,1498060.0
2,Buenos Aires,LA MATANZA,977.0,2.0,1837168.0
3,Santa Fe,ROSARIO,817.0,36.0,1337958.0
4,Buenos Aires,LA PLATA,669.0,72.0,756074.0
5,Buenos Aires,LOMAS DE ZAMORA,548.0,17.0,685644.0
6,Buenos Aires,GENERAL PUEYRREDON,535.0,10.0,660569.0
7,Buenos Aires,QUILMES,464.0,10.0,631774.0
8,Santa Fe,LA CAPITAL,463.0,18.0,568259.0
9,Chaco,SAN FERNANDO,458.0,13.0,413764.0
10,Entre Ríos,PARANA,439.0,9.0,388716.0
11,Buenos Aires,ALMIRANTE BROWN,417.0,13.0,583209.0
12,Tucumán,CAPITAL,400.0,10.0,587289.0
13,Río Negro,GENERAL ROCA,383.0,8.0,379627.0
14,Buenos Aires,MORENO,369.0,,575758.0
15,Buenos Aires,LANUS,362.0,2.0,460081.0
16,Chaco,GENERAL GUEMES,361.0,,68429.0
17,Córdoba,SAN JUSTO,358.0,2.0,228951.0
18,Buenos Aires,MERLO,357.0,6.0,581484.0
19,Neuquén,CONFLUENCIA,346.0,12.0,467217.0
20,Buenos Aires,TIGRE,339.0,3.0,446291.0
21,Córdoba,RIO CUARTO,338.0,5.0,277979.0
22,Formosa,PATIÑO,313.0,,81600.0
23,Misiones,CAPITAL,308.0,5.0,391498.0
24,Buenos Aires,PILAR,306.0,2.0,393614.0
25,Buenos Aires,AVELLANEDA,301.0,66.0,366117.0
26,Buenos Aires,GENERAL SAN MARTIN,298.0,10.0,444503.0
27,Salta,CAPITAL,297.0,7.0,624003.0
28,Buenos Aires,FLORENCIO VARELA,295.0,,488103.0
29,Buenos Aires,BERAZATEGUI,288.0,2.0,358328.0
30,Buenos Aires,BAHIA BLANCA,287.0,11.0,334505.0
31,Buenos Aires,MORON,287.0,6.0,329517.0
32,Santiago del Estero,CAPITAL,282.0,4.0,328824.0
33,Buenos Aires,SAN ISIDRO,276.0,6.0,295978.0
34,Buenos Aires,TRES DE FEBRERO,275.0,10.0,362319.0
35,Corrientes,CAPITAL,271.0,5.0,437446.0
36,Buenos Aires,SAN MIGUEL,269.0,1.0,327650.0
37,Santa Fe,GENERAL OBLIGADO,266.0,4.0,197533.0
38,Córdoba,COLON,259.0,12.0,294511.0
39,Misiones,OBERA,259.0,2.0,120703.0
40,Buenos Aires,VICENTE LOPEZ,252.0,9.0,280541.0
41,Mendoza,SAN RAFAEL,252.0,2.0,213204.0
42,Jujuy,DOCTOR MANUEL BELGRANO,249.0,12.0,319469.0
43,Santa Fe,CASTELLANOS,246.0,7.0,189464.0
44,Formosa,FORMOSA,246.0,4.0,268572.0
45,Misiones,GUARANI,241.0,,77075.0
46,Santa Fe,GENERAL LOPEZ,239.0,3.0,200455.0
47,Formosa,PIRANE,234.0,1.0,72560.0
48,Buenos Aires,MALVINAS ARGENTINAS,227.0,1.0,349401.0
49,Buenos Aires,ESCOBAR,218.0,4.0,256071.0
50,Santiago del Estero,BANDA,217.0,2.0,170401.0
51,Buenos Aires,ESTEBAN ECHEVERRIA,208.0,1.0,337880.0
52,Córdoba,UNION,202.0,1.0,113635.0
53,Córdoba,PUNILLA,201.0,9.0,219494.0
54,Santa Fe,LAS COLONIAS,200.0,6.0,114730.0
55,Mendoza,GUAYMALLEN,200.0,5.0,320871.0
56,Misiones,CAINGUAS,194.0,,59875.0
57,La Rioja,CAPITAL,185.0,3.0,210507.0
58,Chubut,ESCALANTE,184.0,5.0,214829.0
59,Entre Ríos,CONCORDIA,184.0,2.0,197603.0
60,Santa Fe,SAN CRISTOBAL,182.0,1.0,72593.0
61,San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,180.0,9.0,260769.0
62,Buenos Aires,OLAVARRIA,180.0,4.0,122011.0
63,Entre Ríos,GUALEGUAYCHU,180.0,2.0,125176.0
64,Mendoza,CAPITAL,179.0,6.0,123715.0
65,Córdoba,GENERAL SAN MARTIN,175.0,,152397.0
66,Buenos Aires,TANDIL,174.0,7.0,144678.0
67,Buenos Aires,JOSE C. PAZ,174.0,2.0,326527.0
68,Misiones,GENERAL MANUEL BELGRANO,174.0,,45456.0
69,Formosa,PILCOMAYO,172.0,,94116.0
70,San Juan,CAPITAL,168.0,7.0,114849.0
71,Buenos Aires,SAN FERNANDO,168.0,2.0,171099.0
72,Buenos Aires,SAN NICOLAS,167.0,1.0,166657.0
73,Córdoba,MARCOS JUAREZ,165.0,2.0,107286.0
74,Chaco,LIBERTADOR GENERAL SAN MARTIN,164.0,,65304.0
75,Misiones,SAN IGNACIO,164.0,,63194.0
76,Río Negro,BARILOCHE,163.0,7.0,161443.0
77,Córdoba,SANTA MARIA,162.0,5.0,139012.0
78,Córdoba,RIO SEGUNDO,161.0,1.0,113311.0
79,Córdoba,TERCERO ARRIBA,161.0,1.0,120207.0
80,Corrientes,GOYA,161.0,,106223.0
81,Chubut,RAWSON,159.0,3.0,144420.0
82,Entre Ríos,URUGUAY,158.0,3.0,115516.0
83,Tucumán,CRUZ ALTA,158.0,1.0,227688.0
84,Buenos Aires,PERGAMINO,155.0,2.0,114988.0
85,Salta,GENERAL JOSE DE SAN MARTIN,155.0,1.0,177448.0
86,Misiones,IGUAZU,150.0,2.0,99838.0
87,Mendoza,GODOY CRUZ,149.0,3.0,194557.0
88,Chaco,COMANDANTE FERNANDEZ,149.0,1.0,101086.0
89,Buenos Aires,LUJAN,147.0,,110111.0
90,Córdoba,CRUZ DEL EJE,145.0,1.0,64748.0
91,Buenos Aires,EZEIZA,144.0,,198620.0
92,Buenos Aires,HURLINGHAM,143.0,1.0,185361.0
93,Mendoza,MAIPU,143.0,1.0,218887.0
94,Buenos Aires,ITUZAINGO,141.0,3.0,177983.0
95,Mendoza,LAS HERAS,141.0,1.0,233839.0
96,Santa Fe,VERA,141.0,1.0,55463.0
97,Entre Ríos,LA PAZ,141.0,,75271.0
98,Misiones,ELDORADO,138.0,4.0,91133.0
99,Córdoba,RIO PRIMERO,136.0,,58181.0
100,La Pampa,CAPITAL,135.0,5.0,118504.0
101,Entre Ríos,VILLAGUAY,135.0,,55284.0
102,Santa Fe,SAN LORENZO,133.0,3.0,193786.0
103,Catamarca,CAPITAL,132.0,8.0,186466.0
104,Buenos Aires,NECOCHEA,132.0,1.0,101483.0
105,Misiones,LEANDRO N. ALEM,132.0,,49391.0
106,Buenos Aires,ZARATE,131.0,1.0,131415.0
107,Misiones,25 DE MAYO,130.0,1.0,30877.0
108,Buenos Aires,JUNIN,129.0,2.0,100964.0
109,Buenos Aires,CAMPANA,129.0,1.0,107976.0
110,Catamarca,BELEN,129.0,,30353.0
111,Mendoza,SAN MARTIN,129.0,,139406.0
112,Misiones,SAN PEDRO,127.0,1.0,34690.0
113,Córdoba,CALAMUCHITA,127.0,,75462.0
114,Santiago del Estero,RIO HONDO,126.0,1.0,66637.0
115,Buenos Aires,AZUL,126.0,,75152.0
116,Entre Ríos,NOGOYA,126.0,,42954.0
117,Santa Fe,SAN JERONIMO,126.0,,84617.0
118,Formosa,BERMEJO,125.0,,15600.0
119,Salta,RIVADAVIA,124.0,,38062.0
120,Salta,ORAN,119.0,1.0,159715.0
121,San Luis,GENERAL PEDERNERA,116.0,2.0,148671.0
122,Santa Cruz,GUER AIKE,114.0,4.0,137309.0
123,Córdoba,SAN JAVIER,114.0,3.0,62700.0
124,Entre Ríos,FEDERACION,113.0,2.0,78264.0
125,Buenos Aires,MERCEDES,112.0,4.0,71002.0
126,Misiones,LIBERTADOR GRL SAN MARTIN,112.0,,52166.0
127,Santiago del Estero,PELLEGRINI,111.0,,26193.0
128,Buenos Aires,CHIVILCOY,110.0,1.0,70554.0
129,Formosa,RAMON LISTA,109.0,,17678.0
130,Mendoza,LUJAN DE CUYO,108.0,3.0,171883.0
131,San Juan,RAWSON,108.0,,136582.0
132,Santa Cruz,DESEADO,107.0,5.0,126266.0
133,Córdoba,JUAREZ CELMAN,107.0,1.0,68317.0
134,Córdoba,SAN ALBERTO,105.0,,42029.0
135,Santa Fe,IRIONDO,105.0,,73636.0
136,Santiago del Estero,COPO,105.0,,35653.0
137,Buenos Aires,TRENQUE LAUQUEN,104.0,1.0,49128.0
138,Buenos Aires,GENERAL RODRIGUEZ,104.0,,142315.0
139,Santiago del Estero,FIGUEROA,104.0,,20246.0
140,Buenos Aires,25 DE MAYO,103.0,,35411.0
141,Santiago del Estero,MORENO,103.0,,40352.0
142,Tucumán,LEALES,103.0,,66352.0
143,Santa Fe,9 DE JULIO,102.0,,30942.0
144,Buenos Aires,SAN PEDRO,101.0,1.0,68353.0
145,Tucumán,TAFI VIEJO,101.0,1.0,172877.0
146,Buenos Aires,TRES ARROYOS,100.0,,61889.0
147,Corrientes,ESQUINA,99.0,,39168.0
148,Río Negro,ADOLFO ALSINA,98.0,2.0,63845.0
149,Catamarca,LA PAZ,98.0,,26341.0
150,Jujuy,SAN PEDRO,97.0,2.0,88237.0
151,Santa Fe,SAN MARTIN,97.0,2.0,67299.0
152,Buenos Aires,CAÑUELAS,97.0,1.0,70542.0
153,Chaco,ALMIRANTE BROWN,97.0,,37794.0
154,Entre Ríos,DIAMANTE,97.0,,52312.0
155,Buenos Aires,LINCOLN,93.0,1.0,45191.0
156,Buenos Aires,9 DE JULIO,92.0,1.0,52366.0
157,Buenos Aires,CHACABUCO,92.0,1.0,52409.0
158,Santa Fe,CASEROS,91.0,1.0,86261.0
159,Santa Fe,CONSTITUCION,90.0,2.0,93000.0
160,Jujuy,EL CARMEN,90.0,,122259.0
161,Entre Ríos,VICTORIA,89.0,2.0,40301.0
162,Chaco,MAYOR LUIS J FONTANA,89.0,1.0,59798.0
163,Mendoza,LAVALLE,89.0,,47086.0
164,Buenos Aires,BALCARCE,88.0,2.0,48516.0
165,Buenos Aires,CORONEL SUAREZ,88.0,1.0,41713.0
166,Catamarca,SANTA MARIA,88.0,,26822.0
167,Catamarca,TINOGASTA,88.0,,25254.0
168,Santiago del Estero,CHOYA,88.0,,43692.0
169,Corrientes,SANTO TOME,87.0,,71922.0
170,Salta,ANTA,87.0,,69442.0
171,Tucumán,BURRUYACU,87.0,,45459.0
172,Entre Ríos,COLON,86.0,2.0,74890.0
173,Santa Fe,SAN JUSTO,86.0,1.0,46486.0
174,Chaco,QUITILIPI,86.0,,32430.0
175,Entre Ríos,GUALEGUAY,86.0,,56796.0
176,Buenos Aires,BOLIVAR,85.0,,37194.0
177,Buenos Aires,PEHUAJO,85.0,,44594.0
178,Santiago del Estero,LORETO,85.0,,24047.0
179,Corrientes,CURUZU CUATIA,84.0,,51489.0
180,Buenos Aires,CHASCOMUS,83.0,,42191.0
181,Mendoza,GENERAL ALVEAR,83.0,,52379.0
182,Santiago del Estero,ALBERDI,83.0,,20104.0
183,Santiago del Estero,AVELLANEDA,83.0,,25462.0
184,San Juan,RIVADAVIA,82.0,1.0,101334.0
185,Formosa,PILAGAS,82.0,,19089.0
186,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",RIO GRANDE,81.0,5.0,
187,Buenos Aires,LOBOS,81.0,2.0,41418.0
188,Buenos Aires,SAN VICENTE,80.0,3.0,97929.0
189,Buenos Aires,GENERAL VILLEGAS,80.0,,35055.0
190,Chaco,MAIPU,80.0,,26354.0
191,Santiago del Estero,ROBLES,80.0,,53879.0
192,Chubut,BIEDMA,79.0,3.0,102806.0
193,Buenos Aires,BERISSO,79.0,1.0,100685.0
194,Entre Ríos,FEDERAL,79.0,,29436.0
195,Tucumán,CHICLIGASTA,79.0,,92308.0
196,Buenos Aires,SALADILLO,78.0,,35423.0
197,Corrientes,LAVALLE,78.0,,40406.0
198,Buenos Aires,BARADERO,77.0,,39223.0
199,Corrientes,BELLA VISTA,77.0,,44369.0
200,Santiago del Estero,GENERAL TABOADA,77.0,,46304.0
201,San Juan,JACHAL,76.0,,25269.0
202,Chubut,FUTALEUFU,75.0,1.0,49965.0
203,Jujuy,LEDESMA,75.0,,94132.0
204,Misiones,APOSTOLES,75.0,,50503.0
205,Buenos Aires,VILLARINO,74.0,3.0,32552.0
206,Buenos Aires,SAN ANDRES DE GILES,74.0,2.0,26399.0
207,Buenos Aires,CORONEL DE MARINA L ROSALES,74.0,,65823.0
208,Santiago del Estero,JIMENEZ,74.0,,18622.0
209,Tucumán,SIMOCA,74.0,,36946.0
210,San Luis,AYACUCHO,73.0,1.0,23653.0
211,Buenos Aires,LA COSTA,73.0,,100400.0
212,Córdoba,ISCHILIN,72.0,1.0,36023.0
213,Mendoza,SAN CARLOS,71.0,,39752.0
214,Santiago del Estero,JUAN F IBARRA,71.0,,20567.0
215,Buenos Aires,PATAGONES,70.0,1.0,37499.0
216,Córdoba,GENERAL ROCA,70.0,1.0,36064.0
217,Tucumán,MONTEROS,70.0,,77469.0
218,Buenos Aires,AYACUCHO,69.0,,21757.0
