,Provincia,Departamento,Dominio más frecuente en CC
0,Córdoba,ISCHILIN,deanfunes
1,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",USHUAIA,gmail
2,Chaco,O HIGGINS,yahoo
3,Entre Ríos,VICTORIA,hotmail
4,Buenos Aires,BRANDSEN,gmail
5,Río Negro,GENERAL ROCA,gmail
6,Catamarca,VALLE VIEJO,gmail
7,Santa Fe,CASTELLANOS,gmail
8,Buenos Aires,ALMIRANTE BROWN,gmail
9,Catamarca,POMAN,gmail
10,Buenos Aires,GENERAL PUEYRREDON,gmail
11,Misiones,OBERA,fiestadelinmigrante
12,Buenos Aires,SAN FERNANDO,yahoo
13,Buenos Aires,SAN NICOLAS,hotmail
14,Tucumán,LULES,gmail
15,Mendoza,LUJAN DE CUYO,gmail
16,Neuquén,ZAPALA,zapala
17,San Juan,CAPITAL,gmail
18,Santiago del Estero,CAPITAL,gmail
19,Buenos Aires,VILLARINO,luronet
20,Córdoba,SANTA MARIA,altagracia
21,Santa Cruz,DESEADO,gmail
22,Córdoba,RIO CUARTO,hotmail
23,Entre Ríos,URUGUAY,gmail
24,Buenos Aires,MERLO,yahoo
25,Entre Ríos,VICTORIA,gmail
26,Córdoba,SAN JUSTO,coopmorteros
27,Catamarca,FRAY MAMERTO ESQUIU,elgalponclubdesalud
28,Neuquén,CONFLUENCIA,neuquen
29,Ciudad Autónoma de Buenos Aires,CIUDAD AUTONOMA DE BUENOS AIRES,gmail
30,Entre Ríos,COLON,gmail
31,Buenos Aires,SAN ISIDRO,gmail
32,Chubut,ESCALANTE,gmail
33,Salta,IRUYA,hotmail
34,Santa Fe,CONSTITUCION,gmail
35,Santa Fe,LAS COLONIAS,gmail
36,Córdoba,MINAS,hotmail
37,Salta,ORAN,gmail
38,Santa Cruz,GUER AIKE,hotmail
39,Buenos Aires,JOSE C. PAZ,gmail
40,Buenos Aires,LOMAS DE ZAMORA,gmail
41,Buenos Aires,LANUS,gmail
42,Buenos Aires,CORONEL SUAREZ,gmail
43,Córdoba,COLON,gmail
44,Córdoba,MARCOS JUAREZ,gmail
45,San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,gmail
46,Mendoza,SAN RAFAEL,yahoo
47,Santa Fe,SAN LORENZO,gmail
48,Buenos Aires,LOBOS,gmail
49,Entre Ríos,COLON,hotmail
50,Santa Fe,LAS COLONIAS,hotmail
51,Córdoba,SANTA MARIA,hotmail
52,Córdoba,SANTA MARIA,gmail
53,Santa Fe,VERA,gmail
54,San Juan,RIVADAVIA,gmail
55,Buenos Aires,GENERAL JUAN MADARIAGA,hotmail
56,Jujuy,DOCTOR MANUEL BELGRANO,gmail
57,Tucumán,CRUZ ALTA,gmail
58,Buenos Aires,BALCARCE,gmail
59,Salta,CAPITAL,gmail
60,Buenos Aires,OLAVARRIA,gmail
61,Mendoza,GUAYMALLEN,gmail
62,Buenos Aires,DOLORES,gmail
63,Buenos Aires,LA PLATA,gmail
64,San Luis,CORONEL PRINGLES,yahoo
65,Tucumán,YERBA BUENA,gmail
66,Jujuy,HUMAHUACA,arnet
67,Buenos Aires,DOLORES,hotmail
68,Mendoza,SAN RAFAEL,gmail
69,Córdoba,SAN JAVIER,gmail
70,Buenos Aires,TANDIL,gmail
71,Buenos Aires,NECOCHEA,gmail
72,Catamarca,CAPITAL,gmail
73,Córdoba,PUNILLA,gmail
74,La Pampa,MARACO,gmail
75,Buenos Aires,AVELLANEDA,gmail
76,Catamarca,ANDALGALA,gmail
77,Corrientes,CAPITAL,gmail
78,Buenos Aires,MALVINAS ARGENTINAS,hotmail
79,Buenos Aires,ALBERTI,alberti
80,Buenos Aires,ADOLFO ALSINA,adolfoalsina
81,Santa Fe,CASEROS,chabas
82,Buenos Aires,ESTEBAN ECHEVERRIA,gmail
83,Buenos Aires,ITUZAINGO,gmail
84,Formosa,FORMOSA,gmail
85,Misiones,OBERA,yahoo
86,Jujuy,TILCARA,gmail
87,Santa Fe,GENERAL LOPEZ,gmail
88,Neuquén,CONFLUENCIA,ypf
89,Santa Fe,GENERAL LOPEZ,hotmail
90,Neuquén,CONFLUENCIA,laconrado
91,Neuquén,CONFLUENCIA,hotmail
92,Neuquén,CONFLUENCIA,fundacionfabricadeartistas
93,Neuquén,CONFLUENCIA,gmail
94,Buenos Aires,SAAVEDRA,gmail
95,Entre Ríos,URUGUAY,yahoo
96,La Pampa,CAPITAL,gmail
97,Buenos Aires,JUNIN,gmail
98,Buenos Aires,MERLO,gmail
99,Río Negro,ADOLFO ALSINA,gmail
100,Buenos Aires,MORON,gmail
101,Buenos Aires,TRES DE FEBRERO,gmail
102,Buenos Aires,PUNTA INDIO,gmail
103,Córdoba,TERCERO ARRIBA,hotmail
104,Misiones,CAPITAL,gmail
105,Catamarca,FRAY MAMERTO ESQUIU,hotmail
106,Buenos Aires,MERCEDES,hotmail
107,Buenos Aires,RAUCH,gmail
108,Entre Ríos,CONCORDIA,hotmail
109,Salta,ROSARIO DE LERMA,hotmail
110,Santa Fe,ROSARIO,gmail
111,Santa Fe,GENERAL LOPEZ,venadotuerto
112,Buenos Aires,TIGRE,gmail
113,Buenos Aires,SAN FERNANDO,gmail
114,Buenos Aires,MERCEDES,gmail
115,Entre Ríos,CONCORDIA,gmail
116,Buenos Aires,ENSENADA,gmail
117,San Juan,CHIMBAS,gmail
118,Buenos Aires,9 DE JULIO,hotmail
119,Buenos Aires,BERAZATEGUI,gmail
120,Santiago del Estero,BANDA,gmail
121,Santa Fe,SAN JUSTO,gmail
122,Buenos Aires,PILAR,gmail
123,La Pampa,TOAY,hotmail
124,Misiones,ELDORADO,yahoo
125,Río Negro,CONESA,hotmail
126,Salta,SAN CARLOS,gmail
127,Santa Cruz,LAGO ARGENTINO,gmail
128,Buenos Aires,SAN VICENTE,gmail
129,Neuquén,LACAR,gmail
130,Santa Fe,SAN CRISTOBAL,hotmail
131,Chubut,RAWSON,gmail
132,Río Negro,BARILOCHE,gmail
133,Chubut,FUTALEUFU,gmail
134,Chubut,BIEDMA,gmail
135,Misiones,SAN PEDRO,gmail
136,Buenos Aires,QUILMES,gmail
137,Chaco,LIBERTAD,yahoo
138,Santiago del Estero,BANDA,hotmail
139,Buenos Aires,PERGAMINO,yahoo
140,Buenos Aires,VILLARINO,hotmail
141,Buenos Aires,MERLO,suteba
142,Buenos Aires,VILLARINO,gmail
143,La Rioja,CORONEL FELIPE VARELA,hotmail
144,Río Negro,SAN ANTONIO,yahoo
145,Santa Fe,GENERAL OBLIGADO,gmail
146,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",RIO GRANDE,gmail
147,La Rioja,CAPITAL,gmail
148,Mendoza,CAPITAL,gmail
149,Salta,CAFAYATE,gmail
150,Santa Fe,SAN MARTIN,gmail
151,Chaco,1§ DE MAYO,gmail
152,Formosa,FORMOSA,yahoo
153,San Luis,JUNIN,gmail
154,Chaco,SAN FERNANDO,gmail
155,Entre Ríos,PARANA,gmail
156,Neuquén,CONFLUENCIA,yahoo
157,Jujuy,TILCARA,yahoo
158,Buenos Aires,GENERAL SAN MARTIN,gmail
159,Buenos Aires,BAHIA BLANCA,gmail
160,Buenos Aires,BRAGADO,gmail
161,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",RIO GRANDE,hotmail
162,Buenos Aires,PILAR,serenartepilar
163,Misiones,CAPITAL,live
164,Catamarca,ANDALGALA,yahoo
165,Córdoba,SANTA MARIA,fundacionholderlin
166,Córdoba,CRUZ DEL EJE,hotmail
167,Chubut,CUSHAMEN,gmail
168,Mendoza,GODOY CRUZ,yahoo
169,San Luis,GENERAL PEDERNERA,gmail
170,Buenos Aires,SAN PEDRO,yahoo
