,id_depto,grupo_etario,habitantes
0,06007,6-11,1463.0
1,06014,>65,1845.0
2,06021,12-18,1410.0
3,06021,19-65,7260.0
4,06028,0-5,43762.0
5,06042,6-11,2051.0
6,06049,6-11,7022.0
7,06063,6-11,4356.0
8,06070,>65,4584.0
9,06091,>65,36649.0
10,06112,12-18,4902.0
11,06112,19-65,26790.0
12,06134,>65,5892.0
13,06140,12-18,1686.0
14,06140,19-65,9636.0
15,06154,6-11,1331.0
16,06161,6-11,1627.0
17,06168,12-18,1029.0
18,06168,19-65,5688.0
19,06175,6-11,2418.0
20,06182,12-18,7493.0
21,06182,19-65,39029.0
22,06189,>65,2691.0
23,06203,6-11,3775.0
24,06210,12-18,5651.0
25,06210,19-65,31057.0
26,06218,0-5,3167.0
27,06224,6-11,6129.0
28,06231,12-18,2110.0
29,06231,19-65,10617.0
30,06238,0-5,2569.0
31,06252,>65,20847.0
32,06266,0-5,3424.0
33,06274,12-18,61698.0
34,06274,19-65,291006.0
35,06277,0-5,876.0
36,06287,>65,1303.0
37,06294,6-11,1331.0
38,06315,6-11,2191.0
39,06322,0-5,866.0
40,06329,6-11,1773.0
41,06343,6-11,1495.0
42,06392,>65,4535.0
43,06412,0-5,29597.0
44,06413,12-18,10236.0
45,06413,19-65,59584.0
46,06441,0-5,52075.0
47,06455,6-11,2355.0
48,06462,>65,2512.0
49,06466,0-5,443.0
50,06469,>65,6690.0
51,06476,0-5,1302.0
52,06490,12-18,76653.0
53,06490,19-65,414485.0
54,06497,12-18,12158.0
55,06497,19-65,66872.0
56,06505,6-11,2352.0
57,06511,12-18,1171.0
58,06511,19-65,6537.0
59,06515,6-11,34313.0
60,06525,6-11,7274.0
61,06532,0-5,5457.0
62,06539,6-11,61148.0
63,06547,0-5,1922.0
64,06553,6-11,810.0
65,06560,>65,42772.0
66,06588,0-5,3963.0
67,06602,12-18,3920.0
68,06602,19-65,22601.0
69,06616,0-5,662.0
70,06623,6-11,10471.0
71,06630,>65,465.0
72,06658,6-11,60261.0
73,06665,>65,4259.0
74,06672,6-11,1501.0
75,06686,>65,3832.0
76,06721,12-18,991.0
77,06721,19-65,5522.0
78,06742,12-18,881.0
79,06742,19-65,5261.0
80,06763,12-18,17817.0
81,06763,19-65,99710.0
82,06770,0-5,5781.0
83,06778,>65,6607.0
