,Provincia,Departamento,Dominio más frecuente en CC
0,Buenos Aires,SAN VICENTE,gmail
1,Neuquén,LACAR,gmail
2,Santa Fe,SAN CRISTOBAL,hotmail
3,Buenos Aires,PILAR,gmail
4,La Pampa,TOAY,hotmail
5,Misiones,ELDORADO,yahoo
6,Río Negro,CONESA,hotmail
7,Salta,SAN CARLOS,gmail
8,Santa Cruz,LAGO ARGENTINO,gmail
9,Buenos Aires,ENSENADA,gmail
10,San Juan,CHIMBAS,gmail
11,Chubut,BIEDMA,gmail
12,Chubut,RAWSON,gmail
13,Río Negro,BARILOCHE,gmail
14,Chubut,FUTALEUFU,gmail
15,Buenos Aires,9 DE JULIO,hotmail
16,Buenos Aires,BERAZATEGUI,gmail
17,Santiago del Estero,BANDA,gmail
18,Santa Fe,SAN JUSTO,gmail
19,Buenos Aires,QUILMES,gmail
20,Chaco,LIBERTAD,yahoo
21,Misiones,SAN PEDRO,gmail
22,Buenos Aires,PERGAMINO,yahoo
23,Santiago del Estero,BANDA,hotmail
24,Buenos Aires,VILLARINO,hotmail
25,Buenos Aires,MERLO,suteba
26,Buenos Aires,VILLARINO,gmail
27,Buenos Aires,ALMIRANTE BROWN,gmail
28,Catamarca,POMAN,gmail
29,Catamarca,VALLE VIEJO,gmail
30,Santa Fe,CASTELLANOS,gmail
31,Córdoba,ISCHILIN,deanfunes
32,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",USHUAIA,gmail
33,Mendoza,LUJAN DE CUYO,gmail
34,Neuquén,ZAPALA,zapala
35,San Juan,CAPITAL,gmail
36,Santiago del Estero,CAPITAL,gmail
37,Buenos Aires,GENERAL PUEYRREDON,gmail
38,Misiones,OBERA,fiestadelinmigrante
39,Buenos Aires,SAN FERNANDO,yahoo
40,Buenos Aires,SAN NICOLAS,hotmail
41,Tucumán,LULES,gmail
42,Chaco,O HIGGINS,yahoo
43,Entre Ríos,VICTORIA,hotmail
44,Buenos Aires,BRANDSEN,gmail
45,Río Negro,GENERAL ROCA,gmail
46,Santa Cruz,DESEADO,gmail
47,Córdoba,RIO CUARTO,hotmail
48,Buenos Aires,VILLARINO,luronet
49,Córdoba,SANTA MARIA,altagracia
50,Catamarca,FRAY MAMERTO ESQUIU,elgalponclubdesalud
51,Neuquén,CONFLUENCIA,neuquen
52,Entre Ríos,URUGUAY,gmail
53,Buenos Aires,MERLO,yahoo
54,Entre Ríos,VICTORIA,gmail
55,Córdoba,SAN JUSTO,coopmorteros
56,Neuquén,CONFLUENCIA,yahoo
57,Chaco,SAN FERNANDO,gmail
58,Entre Ríos,PARANA,gmail
59,La Rioja,CORONEL FELIPE VARELA,hotmail
60,Río Negro,SAN ANTONIO,yahoo
61,Santa Fe,GENERAL OBLIGADO,gmail
62,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",RIO GRANDE,gmail
63,Buenos Aires,GENERAL SAN MARTIN,gmail
64,Buenos Aires,BAHIA BLANCA,gmail
65,Jujuy,TILCARA,yahoo
66,La Rioja,CAPITAL,gmail
67,Mendoza,CAPITAL,gmail
68,Salta,CAFAYATE,gmail
69,Santa Fe,SAN MARTIN,gmail
