,id,nombre,capacidad,mail,id_depto
0,0,Oihoy Casa Abierta,0.0,recepcion@oihoy.com.ar,02000
1,1,Carpe Diem,0.0,,02000
2,2,Casa Cultural Victor Jara,80.0,jbonadeo5@gmail.com,02000
3,3,El Tanque Cultural,300.0,Eltanquecultural@Gmail.Com,02000
4,4,Espacio Cultural Urbano,140.0,Espacioculturalurbano@Gmail.Com,02000
5,5,Emergente Club Almagro,250.0,Hugo.Enjoy@Gmail.Com,02000
6,6,La Casa De Teresa Israel,0.0,,02000
7,7,Centro Cultural La Grieta,,,02000
8,8,Centro Cultural Raices,60.0,centroculturalraices@yahoo.com.ar,02000
9,9,Alcarajo Centro Cultural,0.0,Alcarajobarcultural@Gmail.Com,02000
10,10,Centro Cultural Atlantix,0.0,Info@Atlantix.Com.Ar,02000
11,11,Cc Molokai,0.0,,02000
12,12,Mi Casa,150.0,787Aguero@Gmail.Com,02000
13,13,Espacio Cafferana 86,,,02000
14,14,La Casona De Los Amigos,150.0,Silviasargoni@Yahoo.Com,02000
15,15,La Casa De Luca Prodan,0.0,Arielbelont_Web@Hotmail.Com,02000
16,16,Club 921,300.0,Sickclub@Hotmail.Com,02000
17,17,Centro Cultural Mamita,450.0,Julieta.Moldero@Gmail.Com,02000
18,18,Espacio Simona,100.0,Culturalsimona@Gmail.Com,02000
19,19,Casa Jache,130.0,Habilitaciones27@Gmail.Com,02000
20,20,Centro Cultural Che Pugliese,,,02000
21,21,Casa De Arcos,130.0,Consultas@Casadearcos.Com.Ar,02000
22,22,Centro Cultural Manuel Ugarte,,,02000
23,23,Espacio Cultural Resurgimiento,0.0,Resurgimiento@Fibertel.Com.Ar,02000
24,24,Teatrarte,50.0,Gladuran@Yahoo.Com.Ar,02000
25,25,"Centro Cultural ""MALVINAS ARGENTINAS""",,,02000
26,26,Centro Cultural Din,0.0,,02000
27,27,El Cultural Masala,50.0,Elculturalmasala@Gmail.Com,02000
28,28,La Instalacion,100.0,Lainstalacion@Yahoo.Com.Ar,02000
29,29,Dumont,220.0,Juani_Marinati@Hotmail.Com,02000
30,30,Estación De Los Deseos,,,02000
