,id_depto,nombre_depto,id_prov
0,06410,ITUZAINGO,06
1,06778,SAN VICENTE,06
2,06412,JOSE C. PAZ,06
3,06126,CAMPANA,06
4,06322,GENERAL LA MADRID,06
5,06063,BALCARCE,06
6,06196,CORONEL PRINGLES,06
7,06224,CHIVILCOY,06
8,06028,ALMIRANTE BROWN,06
9,06686,ROJAS,06
10,06665,RAMALLO,06
11,06175,COLON,06
12,06490,LOMAS DE ZAMORA,06
13,06035,AVELLANEDA,06
14,06574,NAVARRO,06
15,06658,QUILMES,06
16,06434,LANUS,06
17,06714,SALTO,06
18,06182,CORONEL DE MARINA L ROSALES,06
19,06280,GENERAL ALVARADO,06
20,06784,SUIPACHA,06
21,06644,PINAMAR,06
22,10021,ANDALGALA,10
23,10084,POMAN,10
24,10098,SANTA ROSA,10
25,10035,BELEN,10
26,10042,CAPAYAN,10
27,10063,FRAY MAMERTO ESQUIU,10
28,14007,CALAMUCHITA,14
29,14175,TULUMBA,14
30,14154,SOBREMONTE,14
31,18021,CAPITAL,18
32,18140,SAN LUIS DEL PALMAR,18
33,18105,MERCEDES,18
34,22077,LIBERTAD,22
35,22049,GENERAL BELGRANO,22
36,22063,GENERAL GUEMES,22
37,22161,TAPENAGA,22
38,22084,LIBERTADOR GENERAL SAN MARTIN,22
39,22056,GENERAL DONOVAN,22
40,26098,TEHUELCHES,26
41,30088,SAN SALVADOR,30
42,30077,NOGOYA,30
43,30070,LA PAZ,30
44,34049,PILCOMAYO,34
45,38014,EL CARMEN,38
46,38028,HUMAHUACA,38
47,42056,CHAPALEUFU,42
48,42035,CONHELO,42
49,58035,CONFLUENCIA,58
50,58056,LACAR,58
51,58021,CATAN LIL,58
52,66028,CAPITAL,66
53,66014,CACHI,66
54,66091,LA POMA,66
55,70070,POCITO,70
56,70049,IGLESIA,70
57,70105,SARMIENTO,70
58,74028,CHACABUCO,74
59,78049,RIO CHICO,78
60,82063,LA CAPITAL,82
61,82035,GARAY,82
62,82091,SAN CRISTOBAL,82
63,86084,GUASAYAN,86
64,06497,LUJAN,06
65,06833,TRES ARROYOS,06
66,06560,MORENO,06
67,06315,GENERAL JUAN MADARIAGA,06
68,06655,PUNTA INDIO,06
69,06343,GENERAL PAZ,06
70,06638,PILAR,06
71,06861,VICENTE LOPEZ,06
72,06693,ROQUE PEREZ,06
73,06581,NECOCHEA,06
74,06189,CORONEL DORREGO,06
75,06511,MAIPU,06
76,06707,SALADILLO,06
77,06455,LAS FLORES,06
78,06868,VILLA GESELL,06
79,10049,CAPITAL,10
80,10091,SANTA MARIA,10
81,10105,TINOGASTA,10
82,10112,VALLE VIEJO,10
83,14014,CAPITAL,14
84,14091,PUNILLA,14
85,14070,MINAS,14
86,14161,TERCERO ARRIBA,14
87,18063,GENERAL PAZ,18
88,18077,ITATI,18
89,18112,MONTE CASEROS,18
90,18119,PASO DE LOS LIBRES,18
91,22140,SAN FERNANDO,22
92,22070,INDEPENDENCIA,22
93,22098,MAYOR LUIS J FONTANA,22
