,id,id_depto,jardin,primaria,secundaria
0,020000100,02000,1,1,1
1,020000200,02000,0,0,1
2,020000300,02000,1,0,1
3,020000500,02000,1,1,1
4,020000700,02000,1,1,1
5,020000800,02000,0,0,1
6,020000900,02000,0,0,1
7,020001000,02000,0,0,1
8,020001100,02000,0,0,1
9,020001200,02000,0,0,1
11,020001700,02000,1,0,1
12,020001800,02000,0,0,1
16,020002200,02000,0,0,1
17,020002300,02000,0,0,1
18,020002400,02000,0,0,1
19,020002500,02000,0,0,1
20,020002600,02000,0,1,0
21,020002700,02000,1,0,0
22,020002800,02000,1,0,1
23,020002900,02000,1,0,1
24,020003100,02000,1,1,1
25,020003300,02000,1,0,1
26,020003400,02000,1,0,1
27,020003500,02000,1,0,0
29,020003700,02000,1,0,0
30,020003701,02000,1,0,0
31,020003703,02000,1,0,0
32,020003800,02000,0,0,1
33,020003900,02000,0,0,1
34,020004000,02000,0,0,1
35,020004100,02000,0,0,1
36,020004200,02000,0,0,1
37,020004300,02000,0,0,1
38,020004400,02000,1,0,0
40,020004600,02000,0,0,1
41,020004700,02000,1,0,1
42,020004800,02000,0,0,1
43,020004900,02000,1,0,1
44,020005000,02000,0,0,1
45,020005100,02000,0,0,1
47,020005300,02000,0,0,1
48,020005400,02000,1,0,1
49,020005500,02000,1,0,0
50,020005600,02000,0,0,1
52,020005800,02000,0,1,0
53,020005801,02000,0,1,1
57,020006300,02000,0,0,1
58,020006500,02000,1,0,1
60,020007100,02000,0,0,1
61,020007200,02000,1,0,1
62,020007300,02000,0,0,1
63,020007500,02000,1,0,0
64,020007501,02000,1,0,0
65,020007502,02000,1,0,0
66,020007600,02000,1,0,0
67,020007700,02000,0,0,1
68,020007800,02000,0,1,0
69,020007900,02000,0,1,0
71,020008200,02000,1,0,1
72,020008300,02000,1,1,1
73,020008400,02000,1,0,0
74,020008500,02000,0,0,1
75,020008600,02000,0,0,1
76,020008700,02000,1,0,1
77,020008900,02000,0,0,1
78,020009000,02000,0,0,1
79,020009100,02000,1,1,1
80,020009500,02000,1,1,1
82,020009700,02000,1,0,0
83,020009800,02000,1,1,1
84,020009900,02000,1,0,1
85,020010000,02000,1,1,1
86,020010200,02000,1,1,1
87,020010300,02000,0,0,1
88,020010400,02000,1,0,1
93,020011000,02000,0,0,1
94,020011100,02000,0,0,1
95,020011200,02000,0,0,1
96,020011300,02000,0,0,1
97,020011400,02000,1,0,1
98,020011500,02000,1,1,1
99,020011600,02000,1,1,1
100,020011700,02000,1,0,0
101,020011800,02000,1,1,1
103,020012000,02000,0,0,1
104,020012100,02000,0,0,1
105,020012300,02000,1,1,1
106,020012301,02000,0,1,0
108,020012500,02000,0,0,1
109,020012600,02000,1,1,1
110,020012700,02000,1,1,1
111,020012800,02000,0,0,1
112,020012900,02000,0,1,0
113,020013000,02000,0,0,1
114,020013500,02000,0,0,1
115,020013600,02000,0,0,1
116,020013800,02000,1,1,1
117,020013900,02000,0,0,1
118,020014000,02000,0,0,1
119,020014100,02000,0,0,1
120,020014200,02000,1,1,1
121,020014300,02000,0,1,0
122,020014400,02000,1,0,0
123,020014500,02000,0,1,0
124,020014600,02000,1,0,1
126,020015000,02000,1,1,1
127,020015200,02000,0,1,0
128,020015300,02000,0,0,1
129,020015400,02000,0,0,1
130,020015500,02000,1,0,0
131,020015700,02000,1,0,1
132,020015800,02000,1,0,0
133,020015801,02000,1,0,0
134,020015900,02000,0,1,0
135,020016000,02000,0,0,1
136,020016100,02000,0,0,1
138,020016300,02000,0,1,0
139,020016500,02000,0,0,1
140,020016600,02000,0,0,1
141,020016700,02000,0,0,1
142,020016800,02000,1,0,1
143,020016900,02000,0,0,1
144,020017000,02000,1,0,0
145,020017400,02000,1,1,1
146,020017500,02000,0,1,0
147,020017700,02000,1,0,0
148,020017701,02000,1,0,0
149,020017702,02000,1,0,0
150,020017800,02000,1,1,1
152,020018100,02000,0,0,1
153,020018400,02000,0,0,1
154,020018500,02000,0,0,1
155,020018600,02000,0,0,1
156,020018700,02000,1,0,0
157,020018701,02000,1,0,0
158,020018702,02000,1,0,0
159,020018800,02000,1,0,0
160,020018900,02000,0,0,1
161,020019000,02000,1,1,1
162,020019200,02000,0,1,0
163,020019300,02000,0,0,1
164,020019400,02000,1,0,1
165,020019600,02000,0,0,1
167,020019800,02000,1,1,1
168,020019900,02000,1,1,1
170,020020100,02000,1,1,1
171,020020200,02000,0,0,1
172,020020300,02000,1,1,1
173,020020600,02000,1,0,1
174,020020700,02000,0,0,1
175,020020800,02000,0,0,1
176,020020900,02000,1,1,1
177,020021200,02000,1,0,0
178,020021300,02000,0,0,1
179,020021400,02000,0,0,1
180,020021500,02000,0,0,1
181,020021600,02000,0,0,1
182,020021700,02000,1,1,1
183,020021800,02000,1,1,1
184,020021900,02000,0,0,1
185,020022000,02000,1,0,0
186,020022001,02000,1,0,0
187,020022002,02000,1,0,0
188,020022003,02000,1,0,0
189,020022100,02000,0,0,1
191,020022300,02000,1,1,1
192,020022400,02000,1,0,1
193,020022500,02000,1,0,1
194,020023000,02000,0,0,1
195,020023100,02000,1,1,1
196,020023200,02000,0,1,0
197,020023300,02000,0,1,0
198,020023400,02000,1,0,1
199,020023500,02000,0,1,0
200,020023600,02000,0,0,1
201,020023700,02000,0,0,1
203,020023900,02000,1,0,0
204,020023901,02000,1,0,0
205,020024000,02000,0,1,0
207,020024800,02000,1,1,1
208,020024900,02000,1,0,0
209,020024902,02000,1,0,0
210,020024903,02000,1,0,0
211,020025000,02000,0,0,1
212,020025100,02000,0,0,1
213,020025300,02000,1,1,1
214,020025400,02000,1,0,1
215,020025500,02000,1,0,0
216,020025600,02000,0,1,0
224,020026400,02000,1,1,1
226,020026800,02000,0,0,1
231,020027300,02000,0,1,0
232,020027400,02000,1,0,0
233,020027500,02000,1,0,0
234,020027600,02000,1,1,1
235,020027800,02000,1,0,0
236,020027804,02000,1,0,0
237,020027900,02000,0,0,1
238,020028100,02000,0,0,1
239,020028300,02000,0,1,0
241,020028500,02000,0,1,0
242,020028600,02000,0,1,0
243,020028700,02000,1,1,1
244,020028900,02000,0,0,1
245,020029000,02000,1,0,0
246,020029001,02000,1,0,0
247,020029002,02000,1,0,0
248,020029300,02000,1,1,1
249,020029400,02000,1,0,0
250,020029401,02000,1,0,0
251,020029500,02000,1,1,1
252,020029600,02000,0,0,1
253,020029700,02000,0,0,1
254,020029800,02000,0,0,1
255,020029900,02000,0,1,0
257,020030200,02000,0,0,1
258,020030300,02000,1,0,1
259,020030400,02000,0,0,1
260,020030500,02000,0,0,1
261,020030700,02000,1,1,1
262,020030900,02000,1,0,0
263,020030902,02000,1,0,0
265,020031100,02000,0,0,1
267,020031700,02000,0,1,0
268,020031900,02000,0,0,1
273,020032400,02000,0,0,1
274,020032500,02000,0,0,1
276,020032800,02000,0,0,1
277,020032900,02000,0,0,1
278,020033000,02000,0,0,1
279,020033100,02000,1,0,1
280,020033300,02000,0,0,1
281,020033400,02000,1,0,1
282,020033500,02000,1,0,1
283,020033600,02000,1,0,0
284,020033601,02000,1,0,0
285,020033602,02000,1,0,0
287,020034100,02000,0,0,1
288,020034200,02000,1,0,0
289,020034400,02000,1,0,0
290,020034401,02000,1,0,0
291,020034402,02000,1,0,0
292,020034403,02000,1,0,0
296,020034900,02000,0,0,1
297,020035000,02000,0,1,0
298,020035100,02000,0,0,1
299,020035200,02000,0,0,1
300,020035300,02000,1,0,0
301,020035400,02000,1,1,1
302,020035500,02000,1,0,1
303,020035600,02000,0,1,0
304,020035800,02000,0,0,1
305,020036100,02000,0,1,0
306,020036200,02000,0,0,1
307,020036300,02000,0,0,1
308,020036400,02000,0,1,0
310,020036600,02000,0,1,0
311,020036601,02000,0,1,0
312,020036800,02000,1,0,1
313,020037000,02000,0,0,1
315,020037200,02000,0,1,0
320,020037900,02000,1,0,0
321,020038000,02000,0,0,1
322,020038100,02000,1,0,0
323,020038200,02000,1,0,0
324,020038300,02000,0,1,0
327,020038600,02000,0,0,1
328,020038700,02000,1,1,1
336,020039800,02000,1,0,1
337,020039900,02000,0,0,1
338,020040000,02000,0,0,1
339,020040100,02000,0,1,0
340,020040200,02000,1,1,1
341,020040300,02000,1,0,1
342,020040400,02000,0,0,1
344,020040700,02000,1,1,1
347,020041000,02000,0,0,1
348,020041100,02000,1,1,1
349,020041200,02000,1,0,1
350,020041300,02000,0,0,1
351,020041400,02000,0,1,0
352,020041500,02000,1,1,1
354,020041700,02000,0,0,1
355,020041800,02000,0,0,1
356,020041900,02000,0,0,1
357,020042000,02000,1,1,1
358,020042100,02000,0,0,1
359,020042200,02000,1,1,1
361,020042400,02000,0,1,0
362,020042500,02000,1,0,1
363,020042600,02000,1,0,0
364,020042700,02000,1,0,0
365,020042800,02000,1,1,1
367,020043300,02000,0,0,1
369,020043700,02000,1,0,1
370,020043800,02000,0,0,1
371,020043900,02000,1,0,0
372,020044000,02000,1,0,1
373,020044100,02000,0,0,1
374,020044200,02000,1,0,0
375,020044400,02000,1,0,0
376,020044401,02000,1,0,0
377,020044402,02000,1,0,0
378,020044600,02000,1,0,1
379,020044700,02000,0,0,1
