,id_depto,grupo_etario,habitantes
0,06007,>65,2551.0
1,06014,6-11,1184.0
2,06042,>65,2940.0
3,06049,>65,10723.0
4,06063,>65,6918.0
5,06070,6-11,3706.0
6,06084,0-5,1608.0
7,06091,6-11,35310.0
8,06105,0-5,2830.0
9,06134,6-11,8115.0
10,06154,>65,2086.0
11,06161,>65,2090.0
12,06175,>65,3640.0
13,06189,6-11,1368.0
14,06196,12-18,2553.0
15,06196,19-65,13698.0
16,06203,>65,6181.0
17,06224,>65,10420.0
18,06245,0-5,4917.0
19,06252,6-11,27457.0
20,06260,12-18,40096.0
21,06260,19-65,205790.0
22,06280,0-5,3570.0
23,06287,6-11,968.0
24,06294,>65,2655.0
25,06301,12-18,2208.0
26,06301,19-65,11861.0
27,06308,0-5,236.0
28,06315,>65,2865.0
29,06329,>65,1987.0
30,06336,12-18,580.0
31,06336,19-65,2809.0
32,06343,>65,1913.0
33,06351,0-5,1104.0
34,06371,12-18,46012.0
35,06371,19-65,273358.0
36,06385,0-5,1801.0
37,06392,6-11,3412.0
38,06399,0-5,822.0
39,06406,0-5,789.0
40,06408,0-5,11620.0
41,06420,12-18,11692.0
42,06420,19-65,58093.0
43,06427,12-18,214041.0
44,06427,19-65,1102797.0
45,06434,0-5,28133.0
46,06455,>65,4138.0
47,06462,6-11,1585.0
48,06469,6-11,4008.0
49,06505,>65,2459.0
50,06515,>65,33890.0
51,06525,>65,4928.0
52,06539,>65,53763.0
53,06553,>65,1121.0
54,06560,6-11,65328.0
55,06574,12-18,2428.0
56,06574,19-65,11556.0
57,06581,12-18,10861.0
58,06581,19-65,59784.0
59,06609,0-5,3474.0
60,06623,>65,15849.0
61,06630,6-11,511.0
62,06651,0-5,998.0
63,06658,>65,72038.0
64,06665,6-11,4031.0
65,06672,>65,2525.0
66,06686,6-11,2284.0
67,06693,0-5,1104.0
68,06707,0-5,2716.0
69,06714,0-5,3175.0
70,06728,12-18,3015.0
71,06728,19-65,15730.0
72,06749,0-5,11498.0
73,06760,0-5,24752.0
74,06778,6-11,12095.0
75,06812,6-11,259.0
76,06833,6-11,5501.0
77,06840,12-18,35036.0
78,06840,19-65,224655.0
79,06868,6-11,3608.0
80,06882,12-18,15610.0
81,06882,19-65,79490.0
82,10007,>65,712.0
83,10042,0-5,1697.0
84,10056,12-18,554.0
85,10056,19-65,2495.0
86,10070,0-5,2352.0
87,10077,6-11,429.0
88,10091,0-5,2179.0
89,10105,0-5,2024.0
90,14021,12-18,34500.0
91,14021,19-65,179134.0
92,14028,6-11,6501.0
93,14049,12-18,4456.0
94,14049,19-65,20650.0
95,14063,>65,15938.0
96,14070,12-18,529.0
97,14070,19-65,2840.0
98,14147,>65,13883.0
99,14154,0-5,345.0
100,14182,12-18,12072.0
101,14182,19-65,67387.0
102,18014,>65,291.0
103,18021,0-5,35160.0
104,18028,0-5,2791.0
105,18049,6-11,4138.0
106,18056,>65,1001.0
107,18077,>65,1274.0
108,18098,>65,1263.0
109,18105,6-11,5266.0
110,18119,12-18,7503.0
111,18119,19-65,32742.0
112,18126,12-18,3676.0
113,18126,19-65,17104.0
114,18133,6-11,1882.0
115,18147,12-18,1972.0
116,18147,19-65,8562.0
117,18161,6-11,2315.0
118,18168,12-18,9133.0
119,18168,19-65,42572.0
120,18175,>65,1165.0
121,22014,>65,2685.0
122,22021,12-18,12481.0
123,22021,19-65,61185.0
124,22039,12-18,880.0
125,22039,19-65,5206.0
126,22043,>65,927.0
127,22084,6-11,7273.0
128,22105,0-5,2987.0
129,22140,0-5,31821.0
130,22147,12-18,1995.0
131,22147,19-65,9406.0
132,26014,0-5,2022.0
133,26021,0-5,16668.0
134,26035,12-18,5502.0
135,26035,19-65,31186.0
136,26049,12-18,115.0
137,26049,19-65,753.0
138,26056,>65,310.0
139,26070,12-18,178.0
140,26070,19-65,1215.0
141,26084,6-11,638.0
142,26091,6-11,1701.0
143,26098,12-18,657.0
144,26098,19-65,3613.0
145,30015,12-18,23202.0
146,30015,19-65,116955.0
147,30028,12-18,8706.0
148,30028,19-65,47447.0
149,30042,12-18,2028.0
150,30042,19-65,10049.0
151,30049,0-5,4529.0
152,30070,12-18,8762.0
153,30070,19-65,44467.0
154,30077,6-11,4082.0
155,30084,12-18,39844.0
156,30084,19-65,241630.0
157,30088,6-11,2142.0
158,30091,6-11,3068.0
159,30105,>65,4832.0
160,34007,0-5,1763.0
161,34042,0-5,1864.0
162,34049,0-5,8934.0
163,34063,6-11,2783.0
164,38007,0-5,1322.0
165,38021,12-18,34888.0
166,38021,19-65,198400.0
167,38028,6-11,2442.0
168,38056,0-5,539.0
169,38063,>65,8476.0
170,38077,0-5,282.0
171,38098,12-18,565.0
172,38098,19-65,3253.0
173,38105,>65,231.0
174,42007,0-5,769.0
175,42028,>65,912.0
176,42035,6-11,1345.0
177,42042,0-5,99.0
178,42063,12-18,193.0
179,42063,19-65,864.0
180,42077,6-11,590.0
181,42084,6-11,46.0
182,42098,>65,1186.0
183,42112,6-11,1350.0
184,42126,6-11,1070.0
185,42147,6-11,506.0
186,46007,12-18,1863.0
187,46007,19-65,9985.0
188,46014,12-18,23880.0
189,46014,19-65,135127.0
190,46042,12-18,7421.0
191,46042,19-65,35964.0
192,46056,>65,314.0
193,46091,6-11,538.0
194,46098,>65,287.0
195,46105,0-5,209.0
196,46112,0-5,1310.0
197,46119,6-11,429.0
198,50028,12-18,35018.0
199,50028,19-65,192202.0
200,50042,12-18,1302.0
201,50042,19-65,7219.0
202,50063,>65,16850.0
203,50070,12-18,25291.0
204,50070,19-65,130945.0
205,50084,12-18,7111.0
206,50084,19-65,36933.0
207,50091,12-18,4793.0
208,50091,19-65,23212.0
209,50098,0-5,11642.0
210,50105,0-5,17237.0
211,50112,>65,2022.0
212,50126,0-5,3810.0
213,54007,6-11,5788.0
214,54021,0-5,3758.0
215,54028,6-11,40783.0
216,54035,>65,853.0
217,54042,12-18,11407.0
218,54042,19-65,53272.0
219,54049,>65,2072.0
220,54056,>65,4296.0
221,54070,0-5,4430.0
222,54098,6-11,7468.0
223,54105,0-5,2346.0
224,54112,6-11,4904.0
225,54119,0-5,3369.0
226,58014,>65,807.0
227,58021,6-11,316.0
228,58028,12-18,540.0
229,58028,19-65,3027.0
230,58042,12-18,2044.0
231,58042,19-65,11613.0
232,58084,>65,482.0
233,58091,>65,1302.0
234,58105,0-5,721.0
235,62014,0-5,3407.0
236,62021,12-18,16295.0
237,62021,19-65,102388.0
238,62042,6-11,37152.0
239,62084,0-5,337.0
240,62091,12-18,1884.0
241,62091,19-65,10142.0
242,66007,>65,4720.0
243,66021,6-11,2036.0
244,66042,12-18,3002.0
245,66042,19-65,14670.0
246,66070,12-18,938.0
247,66070,19-65,3206.0
248,66077,>65,1030.0
249,66091,0-5,167.0
250,66098,12-18,1064.0
251,66098,19-65,5201.0
252,66105,12-18,1091.0
253,66105,19-65,3939.0
254,66112,0-5,4326.0
255,66119,>65,586.0
256,66133,>65,1941.0
257,66140,>65,3542.0
258,66147,12-18,6128.0
259,66147,19-65,30195.0
260,66154,12-18,964.0
261,66154,19-65,4392.0
262,70007,12-18,4162.0
263,70007,19-65,17922.0
264,70035,0-5,4319.0
265,70042,0-5,9879.0
266,70049,6-11,945.0
267,70091,0-5,1586.0
268,70098,12-18,7378.0
269,70098,19-65,36623.0
270,70105,>65,1993.0
271,70112,0-5,614.0
272,70126,0-5,2294.0
273,70133,0-5,679.0
274,74028,>65,3120.0
275,74049,6-11,3659.0
276,74056,12-18,31276.0
277,74056,19-65,161505.0
278,78028,6-11,2815.0
279,78035,12-18,1415.0
280,78035,19-65,7741.0
281,78049,0-5,585.0
282,82014,12-18,8306.0
283,82014,19-65,51620.0
284,82028,12-18,9828.0
285,82028,19-65,55670.0
286,82042,12-18,20506.0
287,82042,19-65,119730.0
288,82049,6-11,19144.0
289,82056,6-11,6722.0
290,82070,>65,13719.0
291,82077,0-5,2720.0
292,82098,>65,3176.0
293,82105,6-11,7813.0
294,86007,0-5,804.0
295,86056,12-18,5128.0
296,86056,19-65,20123.0
297,86091,12-18,2441.0
298,86091,19-65,10703.0
299,86133,>65,2214.0
300,86154,12-18,627.0
301,86154,19-65,3209.0
302,86161,12-18,7095.0
303,86161,19-65,31246.0
304,86175,6-11,1345.0
305,86182,12-18,716.0
306,86182,19-65,2751.0
307,90007,12-18,5743.0
308,90007,19-65,26634.0
309,90014,6-11,25245.0
310,90042,0-5,2908.0
311,90063,0-5,8542.0
312,90098,0-5,1828.0
313,90105,12-18,20891.0
314,90105,19-65,104523.0
315,90112,12-18,2881.0
316,90112,19-65,13765.0
317,90119,6-11,10227.0
318,94011,12-18,779.0
319,94011,19-65,3616.0
320,06014,12-18,1387.0
321,06014,19-65,7481.0
322,06021,>65,2166.0
323,06070,12-18,4484.0
324,06070,19-65,23224.0
325,06077,0-5,2644.0
326,06091,12-18,41619.0
327,06091,19-65,218944.0
