OBJECTID;Entidad;Objeto;FNA;GNA;NAM;SAG;FDC;IN1;SHAPE_STAr;SHAPE_STLe
4388;0;Departamento;Departamento Islas del Atlántico Sur;Departamento;Islas del Atlántico Sur;IGN;;94021;2,20032256666;113,41474397000
4389;0;Departamento;Departamento Concordia;Departamento;Concordia;ATER - Direc. de Catastro;;30015;0,31047141860;4,03116273288
4390;0;Departamento;Departamento Federal;Departamento;Federal;ATER - Direc. de Catastro;;30035;0,49221379659;5,51732451985
4391;0;Departamento;Departamento Gualeguaychú;Departamento;Gualeguaychú;ATER - Direc. de Catastro;;30056;0,72682084252;5,31842227487
4392;0;Departamento;Departamento Islas del Ibicuy;Departamento;Islas del Ibicuy;ATER - Direc. de Catastro;;30063;0,47907616923;4,21364089754
4393;0;Departamento;Departamento Victoria;Departamento;Victoria;ATER - Direc. de Catastro;;30105;0,63906779385;5,55826064592
4394;0;Departamento;Departamento Diamante;Departamento;Diamante;ATER - Direc. de Catastro;;30021;0,25648508119;3,60882014378
4395;0;Departamento;Departamento Uruguay;Departamento;Uruguay;ATER - Direc. de Catastro;;30098;0,49368826228;5,24421226771
4396;0;Departamento;Departamento Paraná;Departamento;Paraná;ATER - Direc. de Catastro;;30084;0,48590838081;4,50932143674
4397;0;Departamento;Partido de Saladillo;Partido;Saladillo;ARBA - Gerencia de Servicios Catastrales;;06707;0,26944388102;3,10732481649
4398;0;Departamento;Partido de Las Flores;Partido;Las Flores;ARBA - Gerencia de Servicios Catastrales;;06455;0,33401632483;3,13651102878
4399;0;Departamento;Partido de Rojas;Partido;Rojas;ARBA - Gerencia de Servicios Catastrales;;06686;0,20151521970;2,30449202195
4400;0;Departamento;Partido de Escobar;Partido;Escobar;ARBA - Gerencia de Servicios Catastrales;;06252;0,02948564569;1,01252847125
4401;0;Departamento;Partido de José C. Paz;Partido;José C. Paz;ARBA - Gerencia de Servicios Catastrales;;06412;0,00492511992;0,33555027906
4402;0;Departamento;Partido de San Antonio de Areco;Partido;San Antonio de Areco;ARBA - Gerencia de Servicios Catastrales;;06735;0,08431610156;1,67451226154
4403;0;Departamento;Partido de Maipú;Partido;Maipú;ARBA - Gerencia de Servicios Catastrales;;06511;0,26322796204;2,44067400336
4404;0;Departamento;Departamento O'Higgins;Departamento;O'Higgins;Direc. Pcial. de Catastro y Cartografía;;22112;0,14278245608;1,82476528782
4405;0;Departamento;Partido de Moreno;Partido;Moreno;ARBA - Gerencia de Servicios Catastrales;;06560;0,01830243098;0,59568090066
4406;0;Departamento;Partido de La Matanza;Partido;La Matanza;ARBA - Gerencia de Servicios Catastrales;;06427;0,03225569875;1,13456386398
4407;0;Departamento;Partido de General Paz;Partido;General Paz;ARBA - Gerencia de Servicios Catastrales;;06343;0,11915271233;1,74176605680
4408;0;Departamento;Partido de General Guido;Partido;General Guido;ARBA - Gerencia de Servicios Catastrales;;06308;0,23449807161;2,69175561464
4409;0;Departamento;Partido de General Juan Madariaga;Partido;General Juan Madariaga;ARBA - Gerencia de Servicios Catastrales;;06315;0,30250890855;2,79260219485
4410;0;Departamento;Partido de Tandil;Partido;Tandil;ARBA - Gerencia de Servicios Catastrales;;06791;0,49364372912;3,34275503728
4411;0;Departamento;Partido de Coronel Suárez;Partido;Coronel Suárez;ARBA - Gerencia de Servicios Catastrales;;06203;0,61003276749;4,50784558907
4412;0;Departamento;Partido de Adolfo Gonzales Chaves;Partido;Adolfo Gonzales Chaves;ARBA - Gerencia de Servicios Catastrales;;06014;0,38844010924;3,54424486385
4413;0;Departamento;Partido de Bahía Blanca;Partido;Bahía Blanca;ARBA - Gerencia de Servicios Catastrales;;06056;0,23157570202;2,92723618148
4414;0;Departamento;Partido de General Alvarado;Partido;General Alvarado;ARBA - Gerencia de Servicios Catastrales;;06280;0,16742576407;1,96472086618
4415;0;Departamento;Partido de General Pueyrredón;Partido;General Pueyrredón;ARBA - Gerencia de Servicios Catastrales;;06357;0,14992860502;2,04000498032
4416;0;Departamento;Partido de Mar Chiquita;Partido;Mar Chiquita;ARBA - Gerencia de Servicios Catastrales;;06518;0,31469281118;2,47542879137
4417;0;Departamento;Partido de Villa Gesell;Partido;Villa Gesell;ARBA - Gerencia de Servicios Catastrales;;06868;0,01672676766;1,08657219862
4418;0;Departamento;Partido de Pinamar;Partido;Pinamar;ARBA - Gerencia de Servicios Catastrales;;06644;0,00665705211;0,48289712718
4419;0;Departamento;Partido de General Lavalle;Partido;General Lavalle;ARBA - Gerencia de Servicios Catastrales;;06336;0,27256378636;2,53877739748
4420;0;Departamento;Partido de La Costa;Partido;La Costa;ARBA - Gerencia de Servicios Catastrales;;06420;0,02358850478;1,81719994828
4421;0;Departamento;Partido de Magdalena;Partido;Magdalena;ARBA - Gerencia de Servicios Catastrales;;06505;0,18303588425;2,58591077178
4422;0;Departamento;Partido de Vicente López;Partido;Vicente López;ARBA - Gerencia de Servicios Catastrales;;06861;0,00339377482;0,29321002709
4423;0;Departamento;Departamento Alberdi;Departamento;Alberdi;Catastro Provinciales;;86014;1,16746555074;5,76492540728
4424;0;Departamento;Departamento Juan F. Ibarra;Departamento;Juan F. Ibarra;Catastro Provinciales;;86098;0,84883294369;4,98304117031
4425;0;Departamento;Departamento General Taboada;Departamento;General Taboada;Catastro Provinciales;;86077;0,55863349381;3,67020182491
4426;0;Departamento;Departamento Rivadavia;Departamento;Rivadavia;Catastro Provinciales;;86154;0,31478036334;2,66480399113
4427;0;Departamento;Departamento Ojo de Agua;Departamento;Ojo de Agua;Catastro Provinciales;;86126;0,58973155555;4,99402413881
4428;0;Departamento;Departamento Choya;Departamento;Choya;Catastro Provinciales;;86063;0,57202168783;4,71472599930
4429;0;Departamento;Departamento Gobernador Dupuy;Departamento;Gobernador Dupuy;Direc. de Geodesia y Catastro;;74042;1,81761024040;6,28060331665
4430;0;Departamento;Departamento Cachi;Departamento;Cachi;IDE Salta;;66014;0,25467072162;2,79733605744
4431;0;Departamento;Departamento Chicoana;Departamento;Chicoana;IDE Salta;;66042;0,09432908578;1,94788180230
4432;0;Departamento;Departamento La Viña;Departamento;La Viña;IDE Salta;;66098;0,17989834256;3,26996011535
4433;0;Departamento;Partido de Rauch;Partido;Rauch;ARBA - Gerencia de Servicios Catastrales;;06672;0,43420611376;3,39485079005
4434;0;Departamento;Departamento Metán;Departamento;Metán;IDE Salta;;66112;0,47225015930;4,96714510090
4435;0;Departamento;Departamento Molinos;Departamento;Molinos;IDE Salta;;66119;0,33387337435;3,74671618648
4436;0;Departamento;Partido de Salliqueló;Partido;Salliqueló;ARBA - Gerencia de Servicios Catastrales;;06721;0,08027860246;1,21362238722
4437;0;Departamento;Partido de Berazategui;Partido;Berazategui;ARBA - Gerencia de Servicios Catastrales;;06091;0,02170006593;0,81543856245
4438;0;Departamento;Departamento General Güemes;Departamento;General Güemes;IDE Salta;;66049;0,19581825781;2,81203206344
4439;0;Departamento;Departamento San Carlos;Departamento;San Carlos;IDE Salta;;66154;0,49813576449;4,62744940103
4440;0;Departamento;Departamento Santa Rosa;Departamento;Santa Rosa;IDE Mendoza;;50112;0,85936891917;4,72158886694
4441;0;Departamento;Departamento Rivadavia;Departamento;Rivadavia;IDE Mendoza;;50084;0,20433644728;2,26405954555
4442;0;Departamento;Partido de Tornquist;Partido;Tornquist;ARBA - Gerencia de Servicios Catastrales;;06819;0,42821678412;4,51920776304
4443;0;Departamento;Departamento La Paz;Departamento;La Paz;IDE Mendoza;;50042;0,73294811666;4,66486925773
4444;0;Departamento;Partido de Coronel Pringles;Partido;Coronel Pringles;ARBA - Gerencia de Servicios Catastrales;;06196;0,54027779867;3,86512079384
4445;0;Departamento;Partido de Tigre;Partido;Tigre;ARBA - Gerencia de Servicios Catastrales;;06805;0,03746840295;0,97714722468
4446;0;Departamento;Partido de General Pinto;Partido;General Pinto;ARBA - Gerencia de Servicios Catastrales;;06351;0,25062281286;2,77953328749
4447;0;Departamento;Partido de San Cayetano;Partido;San Cayetano;ARBA - Gerencia de Servicios Catastrales;;06742;0,30906493870;3,19494127241
4448;0;Departamento;Partido de Tres Arroyos;Partido;Tres Arroyos;ARBA - Gerencia de Servicios Catastrales;;06833;0,61220462273;4,30240405520
4449;0;Departamento;Partido de Coronel Dorrego;Partido;Coronel Dorrego;ARBA - Gerencia de Servicios Catastrales;;06189;0,60501478789;3,65314832837
4450;0;Departamento;Partido de Necochea;Partido;Necochea;ARBA - Gerencia de Servicios Catastrales;;06581;0,46998322098;4,45559344718
4451;0;Departamento;Departamento Independencia;Departamento;Independencia;IGN;;46105;0,65747699746;3,50939444391
4452;0;Departamento;Departamento General Ocampo;Departamento;General Ocampo;IGN;;46084;0,35314300998;2,58631821011
4453;0;Departamento;Departamento Chamical;Departamento;Chamical;IGN;;46035;0,51596845118;2,93878556375
4454;0;Departamento;Departamento Arauco;Departamento;Arauco;IGN;;46007;0,23281360648;2,16945892047
4455;0;Departamento;Partido de Lezama;Partido;Lezama;ARBA - Gerencia de Servicios Catastrales;;06466;0,10450107929;2,01772637049
4456;0;Departamento;Partido de Chascomús;Partido;Chascomús;ARBA - Gerencia de Servicios Catastrales;;06218;0,31429333453;3,65407952958
4457;0;Departamento;Partido de Punta Indio;Partido;Punta Indio;ARBA - Gerencia de Servicios Catastrales;;06655;0,15933709510;2,79816869217
4458;0;Departamento;Departamento El Carmen;Departamento;El Carmen;Direc. Grl. de Inmuebles;;38014;0,08092864455;1,74731805448
4459;0;Departamento;Departamento Santa María;Departamento;Santa María;IDE Catamarca;;10091;0,49983392158;3,94246672812
4460;0;Departamento;Partido de Campana;Partido;Campana;ARBA - Gerencia de Servicios Catastrales;;06126;0,09640223331;1,93630258336
4461;0;Departamento;Departamento Santa Rosa;Departamento;Santa Rosa;IDE Catamarca;;10098;0,14587536538;1,97456276432
4462;0;Departamento;Departamento La Paz;Departamento;La Paz;IDE Catamarca;;10070;0,76992706405;4,28221286030
4463;0;Departamento;Departamento Magallanes;Departamento;Magallanes;IGN;;78042;2,48953583612;8,82101316224
4464;0;Departamento;Departamento Corpen Aike;Departamento;Corpen Aike;IGN;;78007;3,28827075340;10,28738378110
4465;0;Departamento;Departamento Conesa;Departamento;Conesa;IDE Rio Negro;;62028;1,03469512944;4,99755656108
4466;0;Departamento;Departamento Gaiman;Departamento;Gaiman;IGN;;26042;1,28825669672;5,25689886823
4467;0;Departamento;Departamento Rawson;Departamento;Rawson;IGN;;26077;0,45752801727;3,63923106452
4468;0;Departamento;Departamento General Lamadrid;Departamento;General Lamadrid;IGN;;46077;0,56648018844;4,66555674797
